,character_name,rarity,region,vision,weapon_type,model,constellation,birthday,special_dish,affiliation,voice_eng,voice_cn,voice_jp,voice_kr,release_date,ascension,ascension_specialty,ascension_talent,ascension_boss,talent_book,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6
0,Albedo,5,Mondstadt,Geo,Sword,Medium Male,Princeps Cretaceus,13-Sep,Woodland Dream,Knights of Favonius,Khoi Dao,Mace,Kenji Nojima (????),Kim Myung-jun (???),12/23/20,Geo DMG Bonus,Cecilia,Divining Scroll,Basalt Pillar,Teachings of Ballad,Tusk of Monoceros Caeli,13226,251,876,12296,233,815,11669,222,773,10746,204,712,10119,192,670,9207,175,610,8579,163,568,7675,146,508,6839,130,453,5944,113,394,5317,101,352,3554,68,235,2671,51,177,1030,20,68,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
1,Alhaitham,5,Sumeru,Dendro,Sword,Tall Male,Vultur Volans,11-Feb,Ideal Circumstance,Sumeru Akademiya,Nazeeh Tarsha,Yang Chaoran (???),Umehara Yuuichirou (?? ???),Jun Seung Hwa (???),01/18/23,Dendro DMG Bonus,Sand Grease Pupa,Faded Red Satin,Pseudo-Stamens,Teachings of Ingenuity,Mirror of Mushin,13348,313,781,12409,291,726,11776,276,689,10845,254,635,10212,239,598,9291,218,544,8658,203,507,7746,181,453,6902,162,404,5999,140,351,5366,125,314,3586,84,210,2695,63,157,1039,24,60,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
4,Arataki Itto,5,Inazuma,Geo,Claymore,Tall Male,Taurus Iracundus,1-Jun,Way of the Strong,Arataki Gang,Max Mittelman,Zhaokun Liu (???),Takanori Nishikawa (????),Song Joon-seok (???),12/14/21,CRIT Rate,Onikabuto,Slime Condensate,Riftborn Regalia,Teachings of Elegance,Ashen Heart,12858,227,959,11954,211,892,11345,199,846,10448,185,779,9838,174,734,8951,158,668,8341,147,622,7462,132,557,6649,117,496,5779,102,431,5170,91,386,3455,61,258,2597,46,194,1001,18,75,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
5,Baizhu,5,Liyue,Dendro,Catalyst,Tall Male,Lagenaria,25-Apr,Heat-Quelling Soup,Bubu Pharmacy,"Sean Durrie, Xanthe Huynh","Qin Qiege (???), Wang Xiaotong (???)","Yusa Koji (?? ??), Shoji Yui (????)","Lee Hosan (???), Changsheng: Jang Mi (??)",05/02/23,HP,Violetgrass,Fungal Spores,Evergloom Ring,Teachings of Gold,Worldspan Fern,13348,192,499,12409,179,464,11776,169,440,10845,156,405,10212,147,382,9291,134,347,8658,124,324,7746,111,289,6902,99,258,5999,86,224,5366,77,200,3586,51,134,2695,38,100,1039,14,38,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
12,Cyno,5,Sumeru,Electro,Polearm,Medium Male,Lupus Aureus,23-Jun,Duel Soul,Temple of Silence,Alejandro Saab,Li Qingyang (???),Irino Miyu (?? ??),Lee Woo-ri (???),09/28/22,CRIT DMG,Scarab,Divining Scroll,Thunderclap Fruitcore,Teachings of Admonition,Mudra of the Malefic General,12490,318,859,11612,295,798,11020,280,758,10149,258,698,9556,243,657,8695,221,598,8102,206,557,7249,184,498,6459,164,444,5614,142,386,5021,127,345,3356,85,230,2522,64,173,972,21,66,0.0,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
13,Dehya,5,Sumeru,Pyro,Claymore,Tall Female,Mantichora,7-Apr,Goldflame Tajine,The Eremites,Amber May,Chen Yu (??),Fukuhara Ayaka (????),Kim Hyeon-sim (???),03/01/23,HP,Sand Grease Pupa,Faded Red Satin,Light Guiding Tetrahedron,Teachings of Praxis,Puppet Strings,15674,265,627,14572,246,583,13829,234,553,12736,215,510,11992,203,480,10911,184,437,10168,172,407,9096,154,364,8105,137,324,7045,119,282,6301,106,252,4211,71,168,3165,53,126,1220,20,48,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
17,Eula,5,Mondstadt,Cryo,Claymore,Tall Female,Aphros Delos,25-Oct,Stormcrest Pie,Knights of Favonius,Suzie Yeung,Ziyin (??),Rina Sato (????),Kim Hyeon-ji (???),05/18/21,CRIT DMG,Dandelion Seed,Damaged Mask,Crystalline Bloom,Teachings of Resistance,Dragon Lord's Crown,13226,342,751,12296,318,698,11669,302,662,10746,278,610,10119,262,574,9207,238,523,8579,222,487,7675,199,436,6839,177,388,5944,154,337,5317,138,302,3554,92,202,2671,69,152,1030,27,58,0.0,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
21,Ganyu,5,Liyue,Cryo,Bow,Medium Female,Sinae Unicornis,2-Dec,Prosperous Peace,Yuehai Pavilion,Jennifer Losi,Su Lin (??),Reina Ueda (????),Kim Sun-hye (???),01/12/21,CRIT DMG,Qingxin,Whopperflower Nectar,Hoarfrost Core,Teachings of Diligence,Shadow of the Warrior,9797,335,630,9108,311,586,8643,295,556,7960,272,512,7495,256,482,6820,233,439,6355,217,409,5686,194,366,5066,173,326,4403,151,283,3939,135,253,2632,90,169,1978,68,127,763,26,49,0.0,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
23,Hu Tao,5,Liyue,Pyro,Polearm,Medium Female,Papilio Charontis,15-Jul,Ghostly March,Wangsheng Funeral Parlor,Brianna Knickerbocker,Dian Tao (??),Rie Takahashi (????),Kim Ha-ru (???),03/02/21,CRIT DMG,Silk Flower,Whopperflower Nectar,Juvenile Jade,Teachings of Diligence,Shard of a Foul Legacy,15552,106,876,14459,99,815,13721,94,773,12637,86,712,11899,81,670,10826,74,610,10089,69,568,9026,62,508,8042,55,453,6990,48,394,6253,43,352,4179,29,235,3141,21,177,1211,8,68,0.0,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
25,Kaedehara Kazuha,5,Inazuma,Anemo,Sword,Medium Male,Acer Palmatum,29-Oct,All-Weather Beauty,The Crux,Mark Whitten,Banma (??),Nobunaga Shimazaki (?? ??),Kim Shin-woo (???),06/29/21,Elemental Mastery,Sea Ganoderma,Treasure Hoarder Insignia,Marionette Core,Teachings of Diligence,Gilded Scale,13348,297,807,12410,276,750,11777,262,712,10846,241,656,10213,227,617,9292,206,562,8659,192,523,7747,172,468,6902,153,417,5999,133,363,5366,119,324,3586,80,217,2695,60,163,1039,23,63,0.0,0,28.8,57.6,57.6,86.4,115.2
27,Kamisato Ayaka,5,Inazuma,Cryo,Sword,Medium Female,Grus Nivis,28-Sep,"""Snow on the Hearth""",Yashiro Commission,Erica Mendez,Xiao N (?N),Saori Hayami (????),Lee Yu-ri (???),07/21/21,CRIT DMG,Sakura Bloom,Old Handguard,Perpetual Heart,Teachings of Elegance,Bloodjade Branch,12858,342,784,11954,318,729,11345,302,692,10448,278,637,9838,262,600,8951,238,546,8341,222,509,7462,198,455,6649,177,405,5779,154,352,5170,138,315,3455,92,211,2597,79,158,1001,27,61,0.0,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
28,Kamisato Ayato,5,Inazuma,Hydro,Sword,Tall Male,Cypressus Custos,26-Mar,Quiet Elegance,Yashiro Commission,Chris Hackney,Zhaolu (??),Akira Ishida (?? ?),Jang Min-hyeok (???),04/30/22,CRIT DMG,Sakura Bloom,Old Handguard,Dew of Repudation,Teachings of Elegance,Mudra of the Malefic General,13715,299,769,12751,278,715,12101,264,678,11144,243,624,10494,229,588,9548,208,535,8897,194,499,7960,174,446,1092,155,397,6165,135,345,5514,120,309,3685,81,206,2770,61,155,1068,24,60,0.0,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
30,Keqing,5,Liyue,Electro,Sword,Medium Female,Trulla Cementarii,20-Nov,Survival Grilled Fish,Liyue Qixing,Kayli Mills,Ying Xie (??),Eri Kitamura (?????),Lee Bo-hee (???),09/28/20,CRIT DMG,Cor Lapis,Whopperflower Nectar,Lightning Prism,Teachings of Prosperity,Ring of Boreas,13103,323,799,12182,300,743,11561,285,705,10647,262,649,10025,247,612,9121,225,556,8500,209,519,7604,187,464,6776,167,413,5889,145,359,5268,130,321,3521,87,215,2646,65,161,1020,25,62,0.0,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
32,Klee,5,Mondstadt,Pyro,Catalyst,Short Female,Trifolium,27-Jul,Fish-Flavored Toast,Knights of Favonius,Poonam Basu,Hualing (??),Misaki Kuno (????),Bang Yeon-ji (???),10/20/20,Pyro DMG Bonus,Philanemo Mushroom,Divining Scroll,Everflame Seed,Teachings of Freedom,Ring of Boreas,10287,311,615,9563,289,572,9076,274,542,8358,253,500,7870,238,470,7161,216,428,6673,202,399,5970,180,357,5319,161,318,4623,140,276,4136,125,247,2764,84,165,2077,63,124,801,24,48,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
38,Lyney,5,Fontaine,Pyro,Bow,Medium Male,Felis Fuscus,2-Feb,Cubic Tricks,Hotel Bouffes d'ete,Daman Mills,Jinli (??),Shimono Hiro (???),Park Song-young (???),08/16/23,CRIT Rate,Rainbow Rose,Recruit's Insignia,Emperor's Resolution,Teachings of Equity,Primordial Greenbloom,11021,318,537,10246,295,500,9723,280,474,8955,258,437,8432,243,411,7672,221,374,7149,206,348,6396,184,312,5699,164,278,4953,142,241,4431,127,216,2961,85,144,2225,64,108,857,24,41,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
41,Nahida,5,Sumeru,Dendro,Catalyst,Short Female,Sapientia Oromasdis,27-Oct,Halvamazd,Sumeru City,Kimberley Anne Campbell,Hualing (??),Tamura Yukari (?????),Park Shi-Yoon (???),11/02/22,Elemental Mastery,Kalpalata Lotus,Fungal Spores,Quelled Creeper,Teachings of Ingenuity,Puppet Strings,10360,298,630,9631,277,585,9140,263,556,8417,242,512,7926,228,482,7211,208,438,6720,193,408,6012,173,365,5357,154,325,4656,134,283,4165,120,253,2783,80,169,2092,60,127,806,23,49,0.0,0,28.8,57.6,57.6,86.4,115.2
42,Nilou,5,Sumeru,Hydro,Sword,Medium Female,Lotos Somno,3-Dec,Swirling Steps,Zubayr Theater,Dani Chambers,Zisu Jiuyue (????),Kanemoto Hisako (????),Chae Rim (??),10/14/22,HP,Padisarah,Fungal Spores,Perpetual Caliber,Teachings of Praxis,Tears of the Calamitous God,15184,229,728,14117,213,677,13397,202,642,12338,186,591,11617,175,557,10570,159,507,9850,148,472,8812,133,422,7852,118,376,6825,103,327,6104,92,292,4079,61,195,3066,46,147,1182,17,56,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
46,Raiden Shogun,5,Inazuma,Electro,Polearm,Tall Female,Imperatrix Umbrosa,26-Jun,,Inazuma City,Anne Yatco,Juhuahua (???),Miyuki Sawashiro (?????),Park Ji-yoon (???),09/01/21,Energy Recharge,Amakumo Fruit,Old Handguard,Storm Beads,Teachings of Light,Molten Moment,12907,337,789,12000,314,737,11388,298,696,10487,274,641,9875,258,604,8985,235,549,8373,219,512,7491,196,458,6675,175,408,5801,152,355,5189,136,317,3468,91,212,2606,68,159,1005,26,61,0.0,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%
49,Sangonomiya Kokomi,5,Inazuma,Hydro,Catalyst,Medium Female,Dracanea Somnolenta,22-Feb,A Stunning Stratagem,Watatsumi Island,Risa Mei,Guiniang (??),Suzuko Mimori (?????),Yeo Yun-mi (???),09/21/21,Hydro DMG Bonus,Sango Pearl,Spectral Husk,Dew of Repudation,Teachings of Transience,Hellfire Butterfly,13471,234,657,12524,218,611,11885,207,580,10945,190,534,10306,179,503,9377,163,457,8738,152,426,7818,136,381,6966,121,340,6055,105,295,5416,94,264,3619,63,177,2720,47,133,1049,18,51,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
51,Shenhe,5,Liyue,Cryo,Polearm,Tall Female,Crista Doloris,10-Mar,Heartstring Noodles,Cloud Retainer's Abode,Chelsea Kwoka,Ziyi Qin(???),Ayako Kawasumi (????),Lee Hyun-jin (???),01/05/22,ATK,Qingxin,Whopperflower Nectar,Dragonheir's False Fin,Teachings of Prosperity,Hellfire Butterfly,12993,304,830,21080,282,772,11463,268,732,10557,274,674,9941,232,635,9045,211,578,8429,197,538,7540,176,482,6719,157,429,5840,137,373,5224,122,334,3491,82,223,2624,61,168,1011,24,65,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
54,Tartaglia,5,Snezhnaya,Hydro,Bow,Tall Male,Monoceros Caeli,20-Jul,A Prize Catch,Fatui,Griffin Burns,Yudong (??),Ryohei Kimura (????),Nam Doh-hyeong (???),11/11/20,Hydro DMG Bonus,Starconch,Recruit's Insignia,Cleansing Heart,Teachings of Freedom,Shard of a Foul Legacy,13103,301,815,12182,280,757,11561,266,719,10647,245,662,10025,231,623,9121,210,567,8500,195,528,7604,175,473,6776,156,421,5889,135,366,5268,121,328,3521,81,219,2646,61,165,1020,23,63,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
56,Tighnari,5,Sumeru,Dendro,Bow,Medium Male,Vulpes Zerda,29-Dec,Forest Watcher's Choice,Gandharva Ville,Elliot Gindi,Moran (??),Kobayashi Sanae (?? ??),Jung Ui-taek (???),08/24/22,Dendro DMG Bonus,Nilotpala Lotus,Fungal Spores,Majestic Hooked Beak,Teachings of Admonition,The Meaning of Aeons,10849,267,630,10087,249,585,9572,236,556,8815,217,512,8301,204,482,7552,186,438,7038,173,408,6296,155,365,5610,138,325,4876,120,283,4362,107,253,2915,71,169,2191,54,127,844,20,49,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
59,Venti,5,Mondstadt,Anemo,Bow,Medium Male,Carmen Dei,16-Jun,A Buoyant Breeze,Mondstadt,Erika Harlacher,Miaojiang (??),Ayumu Murase (???),Jung Yoo-jung (???),09/28/20,Energy Recharge,Cecilia,Slime Condensate,Hurricane Seed,Teachings of Ballad,Tail of Boreas,10531,263,669,9790,245,622,9292,232,590,8557,214,543,8058,201,512,7331,183,465,6832,171,434,6112,153,388,5446,136,346,4734,118,301,4234,106,269,2830,71,180,2127,53,135,820,20,52,0.0,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%
60,Wanderer,5,Sumeru,Anemo,Catalyst,Medium Male,Peregrinus,3-Jan,Shimi Chazuke,,Patrick Pedraza,Luyin (??),Kakihara Tetsuya (?? ??),Min Seung-woo (???),12/07/22,CRIT Rate,Rukkhashava Mushrooms,Old Handguard,Perpetual Caliber,Teachings of Praxis,Daka's Bell,10164,327,607,9449,304,564,8967,289,535,8258,266,493,7776,250,464,7075,228,422,6593,212,393,5898,190,352,5256,169,313,4568,147,272,4086,131,244,2730,88,163,2052,66,122,791,25,47,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
62,Xiao,5,Liyue,Anemo,Polearm,Medium Male,Alatus Nemeseos,17-Apr,"""Sweet Dream""",Liyue Adeptus,Laila Berzins,kinsen,Yoshitsugu Matsuoka (????),Sim Kyu-hyuk (???),02/03/21,CRIT Rate,Qingxin,Slime Condensate,Juvenile Jade,Teachings of Prosperity,Shadow of the Warrior,12736,349,799,11840,325,743,11236,308,705,10348,284,649,9744,267,612,8866,243,556,8262,227,519,7391,203,464,6586,181,413,5724,157,359,5120,141,321,3422,94,215,2572,71,161,991,27,62,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
65,Yae Miko,5,Inazuma,Electro,Catalyst,Tall Female,Divina Vulpes,27-Jun,Fukuuchi Udon,Grand Narukami Shrine,Ratana,Mingya Du (???),Ayane Sakura (????),Moon Yoo-jeong (???),02/16/22,CRIT Rate,Sea Ganoderma,Old Handguard,Dragonheir's False Fin,Teachings of Light,The Meaning of Aeons,10372,340,569,9643,316,529,9151,300,502,8428,276,462,7936,260,435,7220,236,396,6729,220,369,6020,197,330,5364,176,294,4662,153,256,4170,137,229,2787,91,153,2065,69,115,807,26,44,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
68,Yelan,5,Liyue,Hydro,Bow,Tall Female,Umbrabilis Orchis,20-Apr,Dew-Dipped Shrimp,Yanshang Teahouse,Laura Post,Xu Hui (??),Endou Aya (?? ?),Min-a (??),05/31/22,CRIT Rate,Starconch,Recruit's Insignia,Runic Fang,Teachings of Prosperity,Gilded Scale,14450,244,548,13434,227,509,12749,215,483,11741,198,445,11056,187,419,10059,170,381,9374,158,355,8386,142,318,7472,126,283,6495,110,246,5810,98,220,3883,66,147,2918,49,111,1125,19,43,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
69,Yoimiya,5,Inazuma,Pyro,Bow,Medium Female,Carassius Auratus,21-Jun,Summer Festival Fish,Naganohara Fireworks,Jenny Yokobori,Na Jin (??),Kana Ueda (????),Bak Sin-hee (???),08/10/21,CRIT Rate,Naku Weed,Divining Scroll,Smoldering Pearl,Teachings of Transience,Dragon Lord's Crown,10164,323,615,9450,300,572,8968,285,542,8259,262,500,7777,247,470,7075,225,428,6593,209,399,6899,187,357,5256,167,318,4568,145,276,4086,130,318,2731,87,165,2053,65,124,791,25,48,0.0,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
71,Zhongli,5,Liyue,Geo,Polearm,Tall Male,Lapis Dei,31-Dec,Slow-Cooked Bamboo Shoot Soup,Liyue Harbor,Keith Silverstein,Bo Peng (??),Tomoaki Maeno (????),Pyo Yeong-jae (???),12/01/20,Geo DMG Bonus,Cor Lapis,Slime Condensate,Basalt Pillar,Teachings of Gold,Tusk of Monoceros Caeli,14695,251,738,13662,233,686,12965,222,651,11940,204,599,11243,192,564,10230,175,514,9533,163,479,8528,146,428,7599,130,382,6605,113,332,5908,101,297,3948,67,198,2967,51,149,1144,20,57,0.0,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
